category,hanzi,pinyin,english
verb,"学习","xuéxí","to study; to learn"
verb,"上课","shàngkè","to have class"
verb,"下课","xiàkè","class to be over; to finish class"
verb,"玩","wán","to play; to have fun"
verb,"买","mǎi","to buy"
verb,"卖","mài","to sell"
verb,"去","qù","to go"
verb,"来","lái","to come"
verb,"回家","huíjiā","to go home; to return home"

place,"学校","xuéxiào","school"
place,"医院","yīyuàn","hospital"
place,"饭店","fàndiàn","restaurant; hotel"
place,"家","jiā","home; house"
place,"公园","gōngyuán","park"
place,"商店","shāngdiàn","shop; store"
place,"超市","chāoshì","supermarket"
place,"图书馆","túshūguǎn","library"
place,"火车站","huǒchēzhàn","train station"
place,"机场","jīchǎng","airport"
place,"银行","yínháng","bank"
place,"邮局","yóujú","post office"
place,"游乐场","yóulèchǎng","amusement park; playground"
place,"动物园","dòngwùyuán","zoo"
place,"体育馆","tǐyùguǎn","gymnasium; sports center"
place,"教室","jiàoshì","classroom"
place,"公司","gōngsī","company; office"
place,"公交站","gōngjiāozhàn","bus stop"
place,"咖啡馆","kāfēiguǎn","café"
place,"面包店","miànbāodiàn","bakery"

time,"昨天","zuótiān","yesterday"
time,"今天","jīntiān","today"
time,"明天","míngtiān","tomorrow"
time,"早上","zǎoshang","early morning"
time,"上午","shàngwǔ","morning (before noon)"
time,"中午","zhōngwǔ","noon; midday"
time,"下午","xiàwǔ","afternoon"
time,"晚上","wǎnshang","evening; night"
time,"现在","xiànzài","now; at present"
time,"一会儿","yíhuìr","in a moment; a little while"
time,"以前","yǐqián","before; in the past"
time,"以后","yǐhòu","after; later; in the future"
time,"每天","měitiān","every day"
time,"星期一","xīngqīyī","Monday"
time,"星期天","xīngqītiān","Sunday"
time,"周末","zhōumò","weekend"
time,"去年","qùnián","last year"
time,"今年","jīnnián","this year"
time,"明年","míngnián","next year"
time,"下周","xià zhōu","next week"

job,"老师","lǎoshī","teacher"
job,"学生","xuéshēng","student"
job,"医生","yīshēng","doctor"
job,"护士","hùshi","nurse"
job,"警察","jǐngchá","police officer"
job,"司机","sījī","driver"
job,"服务员","fúwùyuán","waiter; waitress; service staff"
job,"工人","gōngrén","worker"
job,"农民","nóngmín","farmer"
job,"厨师","chúshī","chef; cook"
job,"售货员","shòuhuòyuán","shop assistant; salesperson"
job,"经理","jīnglǐ","manager"
job,"老板","lǎobǎn","boss; shop owner"
job,"运动员","yùndòngyuán","athlete"
job,"歌手","gēshǒu","singer"
job,"演员","yǎnyuán","actor; actress"
job,"画家","huàjiā","painter; artist"
job,"记者","jìzhě","journalist; reporter"
job,"科学家","kēxuéjiā","scientist"
job,"工程师","gōngchéngshī","engineer"
